epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,292.085,1.17617,1.42844,1.2625,0.74705,0.57712,0.742,0.5544,1.10641,1.25978,1.25933,0.00332872,0.00332872,0.00332872
2,566.463,1.19242,1.17472,1.25682,0.79988,0.43473,0.63458,0.45755,1.35205,2.00534,1.48007,0.0065961,0.0065961,0.0065961
3,837.739,1.30775,1.39637,1.34376,0.42518,0.65608,0.67844,0.51951,1.42548,1.80969,1.51436,0.00979748,0.00979748,0.00979748
4,1106.62,1.38289,1.52675,1.39894,0.77693,0.52018,0.69447,0.51023,1.33024,1.56976,1.48334,0.009703,0.009703,0.009703
5,1377.61,1.35586,1.45669,1.3869,0.83053,0.54848,0.70289,0.5173,1.29767,1.69181,1.44264,0.009604,0.009604,0.009604
6,1642.96,1.31095,1.37308,1.35648,0.517,0.67883,0.74515,0.55143,1.25472,1.33456,1.40635,0.009505,0.009505,0.009505
7,1915.31,1.28018,1.29197,1.32878,0.52347,0.67194,0.4501,0.32254,1.20172,1.28936,1.35467,0.009406,0.009406,0.009406
8,2181.2,1.24427,1.24817,1.31565,0.46011,0.72709,0.75376,0.59902,1.19953,1.30543,1.35118,0.009307,0.009307,0.009307
9,2450.11,1.22326,1.19484,1.29879,0.73512,0.63399,0.7522,0.5966,1.18124,1.28779,1.35275,0.009208,0.009208,0.009208
10,2719.41,1.19927,1.14372,1.28267,0.61723,0.61028,0.76621,0.57461,1.13907,1.18761,1.3161,0.009109,0.009109,0.009109
11,2986.55,1.1982,1.11524,1.28022,0.48386,0.70136,0.76063,0.56908,1.16896,1.19103,1.32735,0.00901,0.00901,0.00901
12,3255.92,1.17353,1.09384,1.26491,0.84914,0.51236,0.77804,0.58448,1.13855,1.18522,1.31144,0.008911,0.008911,0.008911
13,3522.47,1.17893,1.06851,1.26176,0.58995,0.6597,0.76873,0.61451,1.13139,1.18553,1.29795,0.008812,0.008812,0.008812
14,3791.84,1.15914,1.02406,1.24739,0.82629,0.53127,0.79044,0.62909,1.12025,1.13425,1.28308,0.008713,0.008713,0.008713
15,4059.35,1.14057,1.0099,1.23978,0.82514,0.54336,0.7941,0.63164,1.09893,1.07134,1.28507,0.008614,0.008614,0.008614
16,4329.31,1.14639,0.99022,1.23601,0.52417,0.70437,0.78237,0.62049,1.12008,1.13532,1.29209,0.008515,0.008515,0.008515
17,4590.45,1.12068,0.96331,1.2253,0.56416,0.70271,0.78777,0.63297,1.07901,1.09921,1.26341,0.008416,0.008416,0.008416
18,4854.91,1.13094,0.95192,1.22349,0.56094,0.71378,0.78963,0.63263,1.09114,1.08515,1.25967,0.008317,0.008317,0.008317
19,5116.17,1.10738,0.94007,1.2156,0.67241,0.60491,0.7808,0.62575,1.09762,1.08744,1.26844,0.008218,0.008218,0.008218
20,5380.05,1.10429,0.91207,1.20891,0.6852,0.58748,0.78186,0.62744,1.08727,1.08653,1.27752,0.008119,0.008119,0.008119
21,5643.94,1.10739,0.89926,1.20652,0.79884,0.57178,0.77217,0.58926,1.083,1.10712,1.26179,0.00802,0.00802,0.00802
